v-sweep,v(Vout),v(V1),v(V2),I(V3)
0.122,0.9,0.122,0.5,-5.58452069E-07
0.123,0.9,0.123,0.5,-5.58448772E-07
0.124,0.9,0.124,0.5,-5.58445432E-07
0.125,0.9,0.125,0.5,-5.58441936E-07
0.126,0.9,0.126,0.5,-5.58438394E-07
0.127,0.9,0.127,0.5,-5.58434692E-07
0.128,0.9,0.128,0.5,-5.58430884E-07
0.129,0.9,0.129,0.5,-5.58426951E-07
0.13,0.9,0.13,0.5,-5.58422904E-07
0.131,0.9,0.131,0.5,-5.58418719E-07
0.132,0.9,0.132,0.5,-5.58414424E-07
0.133,0.9,0.133,0.5,-5.58409958E-07
0.134,0.9,0.134,0.5,-5.58405347E-07
0.135,0.9,0.135,0.5,-5.58400611E-07
0.136,0.9,0.136,0.5,-5.58395705E-07
0.137,0.9,0.137,0.5,-5.58390656E-07
0.138,0.9,0.138,0.5,-5.58385441E-07
0.139,0.9,0.139,0.5,-5.58380059E-07
0.14,0.9,0.14,0.5,-5.58374477E-07
0.141,0.9,0.141,0.5,-5.58368729E-07
0.142,0.9,0.142,0.5,-5.58362775E-07
0.143,0.9,0.143,0.5,-5.58356646E-07
0.144,0.9,0.144,0.5,-5.5835033E-07
0.145,0.9,0.145,0.5,-5.58343778E-07
0.146,0.9,0.146,0.5,-5.5833701E-07
0.147,0.9,0.147,0.5,-5.58330051E-07
0.148,0.9,0.148,0.5,-5.58322835E-07
0.149,0.9,0.149,0.5,-5.58315396E-07
0.15,0.9,0.15,0.5,-5.58307701E-07
0.151,0.9,0.151,0.5,-5.58299778E-07
0.152,0.9,0.152,0.5,-5.58291589E-07
0.153,0.9,0.153,0.5,-5.58283123E-07
0.154,0.9,0.154,0.5,-5.58274387E-07
0.155,0.9,0.155,0.5,-5.58265384E-07
0.156,0.9,0.156,0.5,-5.58256097E-07
0.157,0.9,0.157,0.5,-5.58246498E-07
0.158,0.9,0.158,0.5,-5.58236614E-07
0.159,0.9,0.159,0.5,-5.58226386E-07
0.16,0.9,0.16,0.5,-5.58215834E-07
0.161,0.9,0.161,0.5,-5.58204992E-07
0.162,0.9,0.162,0.5,-5.58193779E-07
0.163,0.9,0.163,0.5,-5.58182229E-07
0.164,0.9,0.164,0.5,-5.58170314E-07
0.165,0.9,0.165,0.5,-5.58158025E-07
0.166,0.9,0.166,0.5,-5.58145352E-07
0.167,0.9,0.167,0.5,-5.58132335E-07
0.168,0.9,0.168,0.5,-5.58118902E-07
0.169,0.9,0.169,0.5,-5.58105047E-07
0.17,0.9,0.17,0.5,-5.58090754E-07
0.171,0.9,0.171,0.5,-5.58076071E-07
0.172,0.9,0.172,0.5,-5.58060936E-07
0.173,0.9,0.173,0.5,-5.58045361E-07
0.174,0.9,0.174,0.5,-5.58029306E-07
0.175,0.9,0.175,0.5,-5.58012793E-07
0.176,0.9,0.176,0.5,-5.57995801E-07
0.177,0.9,0.177,0.5,-5.57978296E-07
0.178,0.9,0.178,0.5,-5.57960281E-07
0.179,0.9,0.179,0.5,-5.57941739E-07
0.18,0.9,0.18,0.5,-5.57922711E-07
0.181,0.9,0.181,0.5,-5.57903075E-07
0.182,0.9,0.182,0.5,-5.57882903E-07
0.183,0.9,0.183,0.5,-5.57862162E-07
0.184,0.9,0.184,0.5,-5.57840856E-07
0.185,0.9,0.185,0.5,-5.578189E-07
0.186,0.9,0.186,0.5,-5.57796341E-07
0.187,0.9,0.187,0.5,-5.57773141E-07
0.188,0.9,0.188,0.5,-5.57749285E-07
0.189,0.9,0.189,0.5,-5.57724796E-07
0.19,0.9,0.19,0.5,-5.576996E-07
0.191,0.9,0.191,0.5,-5.57673701E-07
0.192,0.9,0.192,0.5,-5.57647102E-07
0.193,0.9,0.193,0.5,-5.57619789E-07
0.194,0.9,0.194,0.5,-5.57591676E-07
0.195,0.9,0.195,0.5,-5.57562828E-07
0.196,0.9,0.196,0.5,-5.57533205E-07
0.197,0.9,0.197,0.5,-5.57502752E-07
0.198,0.9,0.198,0.5,-5.57471463E-07
0.199,0.9,0.199,0.5,-5.57439357E-07
0.2,0.9,0.2,0.5,-5.57406374E-07
0.201,0.9,0.201,0.5,-5.5737252E-07
0.202,0.9,0.202,0.5,-5.57337742E-07
0.203,0.9,0.203,0.5,-5.57302052E-07
0.204,0.9,0.204,0.5,-5.57265398E-07
0.205,0.9,0.205,0.5,-5.57227789E-07
0.206,0.9,0.206,0.5,-5.57189168E-07
0.207,0.9,0.207,0.5,-5.57149523E-07
0.208,0.9,0.208,0.5,-5.57108851E-07
0.209,0.9,0.209,0.5,-5.57067118E-07
