time,v(Vout),v(V1)
1.745E-08,0.501568454,0.51
1.755E-08,0.501569288,0.51
1.765E-08,0.501570124,0.51
1.775E-08,0.501570962,0.51
1.785E-08,0.501571803,0.51
1.795E-08,0.501572645,0.51
1.805E-08,0.501573491,0.51
1.815E-08,0.501574339,0.51
1.825E-08,0.501575191,0.51
1.835E-08,0.501576046,0.51
1.845E-08,0.501576905,0.51
1.855E-08,0.501577767,0.51
1.865E-08,0.501578634,0.51
1.875E-08,0.501579504,0.51
1.885E-08,0.501580379,0.51
1.895E-08,0.501581259,0.51
1.905E-08,0.501582144,0.51
1.915E-08,0.501583033,0.51
1.925E-08,0.501583928,0.51
1.935E-08,0.501584827,0.51
1.945E-08,0.501585733,0.51
1.955E-08,0.501586644,0.51
1.965E-08,0.501587561,0.51
1.975E-08,0.501588483,0.51
1.985E-08,0.501589412,0.51
1.995E-08,0.501590347,0.51
2.005E-08,0.501591288,0.51
2.015E-08,0.501592236,0.51
2.025E-08,0.501593191,0.51
2.035E-08,0.501594152,0.51
2.045E-08,0.50159512,0.51
2.055E-08,0.501596095,0.51
2.065E-08,0.501597077,0.51
2.075E-08,0.501598066,0.51
2.085E-08,0.501599063,0.51
2.095E-08,0.501600067,0.51
2.105E-08,0.501601079,0.51
2.115E-08,0.501602098,0.51
2.125E-08,0.501603125,0.51
2.135E-08,0.50160416,0.51
2.145E-08,0.501605203,0.51
2.155E-08,0.501606254,0.51
2.165E-08,0.501607313,0.51
2.175E-08,0.501608381,0.51
2.185E-08,0.501609456,0.51
2.195E-08,0.50161054,0.51
2.205E-08,0.501611633,0.51
2.215E-08,0.501612734,0.51
2.225E-08,0.501613844,0.51
2.235E-08,0.501614962,0.51
2.245E-08,0.501616089,0.51
2.255E-08,0.501617225,0.51
2.265E-08,0.50161837,0.51
2.275E-08,0.501619524,0.51
2.285E-08,0.501620687,0.51
2.295E-08,0.501621859,0.51
2.305E-08,0.50162304,0.51
2.315E-08,0.501624231,0.51
2.325E-08,0.501625431,0.51
2.335E-08,0.50162664,0.51
2.345E-08,0.501627858,0.51
2.355E-08,0.501629086,0.51
2.365E-08,0.501630324,0.51
2.375E-08,0.501631571,0.51
2.385E-08,0.501632828,0.51
2.395E-08,0.501634094,0.51
2.405E-08,0.50163537,0.51
2.415E-08,0.501636656,0.51
2.425E-08,0.501637951,0.51
2.435E-08,0.501639256,0.51
2.445E-08,0.501640571,0.51
2.455E-08,0.501641896,0.51
2.465E-08,0.501643231,0.51
2.475E-08,0.501644576,0.51
2.485E-08,0.501645931,0.51
2.495E-08,0.501647296,0.51
2.505E-08,0.501648671,0.51
2.515E-08,0.501650055,0.51
2.525E-08,0.50165145,0.51
2.535E-08,0.501652855,0.51
2.545E-08,0.501654271,0.51
2.555E-08,0.501655696,0.51
2.565E-08,0.501657131,0.51
2.575E-08,0.501658577,0.51
2.585E-08,0.501660033,0.51
2.595E-08,0.501661499,0.51
2.605E-08,0.501662975,0.51
2.615E-08,0.501664461,0.51
2.625E-08,0.501665958,0.51
2.635E-08,0.501667465,0.51
2.645E-08,0.501668982,0.51
2.655E-08,0.50167051,0.51
2.665E-08,0.501672047,0.51
2.675E-08,0.501673595,0.51
2.685E-08,0.501675153,0.51
2.695E-08,0.501676722,0.51
2.705E-08,0.501678301,0.51
2.715E-08,0.50167989,0.51
2.725E-08,0.501681489,0.51
2.735E-08,0.501683098,0.51
2.745E-08,0.501684718,0.51
2.755E-08,0.501686348,0.51
2.765E-08,0.501687988,0.51
2.775E-08,0.501689639,0.51
2.785E-08,0.501691299,0.51
2.795E-08,0.50169297,0.51
2.805E-08,0.501694651,0.51
2.815E-08,0.501696343,0.51
2.825E-08,0.501698044,0.51
2.835E-08,0.501699756,0.51
2.845E-08,0.501701477,0.51
2.855E-08,0.501703209,0.51
2.865E-08,0.501704951,0.51
2.875E-08,0.501706703,0.51
2.885E-08,0.501708465,0.51
2.895E-08,0.501710237,0.51
2.905E-08,0.501712019,0.51
2.915E-08,0.501713811,0.51
2.925E-08,0.501715613,0.51
2.935E-08,0.501717424,0.51
2.945E-08,0.501719246,0.51
2.955E-08,0.501721078,0.51
2.965E-08,0.501722919,0.51
2.975E-08,0.501724771,0.51
2.985E-08,0.501726632,0.51
2.995E-08,0.501728502,0.51
3.005E-08,0.501730383,0.51
3.015E-08,0.501732273,0.51
3.025E-08,0.501734173,0.51
3.035E-08,0.501736083,0.51
3.045E-08,0.501738002,0.51
3.055E-08,0.50173993,0.51
3.065E-08,0.501741869,0.51
3.075E-08,0.501743816,0.51
3.085E-08,0.501745773,0.51
3.095E-08,0.50174774,0.51
3.105E-08,0.501749715,0.51
3.115E-08,0.5017517,0.51
3.125E-08,0.501753695,0.51
3.135E-08,0.501755698,0.51
3.145E-08,0.501757711,0.51
3.155E-08,0.501759733,0.51
3.165E-08,0.501761764,0.51
3.175E-08,0.501763804,0.51
3.185E-08,0.501765853,0.51
3.195E-08,0.501767911,0.51
3.205E-08,0.501769978,0.51
3.215E-08,0.501772054,0.51
3.225E-08,0.501774139,0.51
3.235E-08,0.501776232,0.51
3.245E-08,0.501778334,0.51
3.255E-08,0.501780445,0.51
3.265E-08,0.501782565,0.51
3.275E-08,0.501784693,0.51
3.285E-08,0.501786829,0.51
3.295E-08,0.501788974,0.51
3.305E-08,0.501791128,0.51
3.315E-08,0.501793289,0.51
3.325E-08,0.50179546,0.51
3.335E-08,0.501797638,0.51
3.345E-08,0.501799825,0.51
3.355E-08,0.501802019,0.51
3.365E-08,0.501804222,0.51
3.375E-08,0.501806433,0.51
3.385E-08,0.501808652,0.51
3.395E-08,0.501810879,0.51
3.405E-08,0.501813114,0.51
3.415E-08,0.501815357,0.51
3.425E-08,0.501817607,0.51
3.435E-08,0.501819865,0.51
3.445E-08,0.501822131,0.51
3.455E-08,0.501824404,0.51
3.465E-08,0.501826685,0.51
3.475E-08,0.501828974,0.51
3.485E-08,0.50183127,0.51
3.495E-08,0.501833573,0.51
3.505E-08,0.501835884,0.51
3.515E-08,0.501838202,0.51
3.525E-08,0.501840527,0.51
3.535E-08,0.501842859,0.51
