 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 5.60000000e-01  5.60000002e-01  0.00000000e+00  1.80000000e+00  5.60000000e-01 
 5.70000000e-01  5.70000002e-01  0.00000000e+00  1.80000000e+00  5.70000000e-01 
 5.80000000e-01  5.80000002e-01  0.00000000e+00  1.80000000e+00  5.80000000e-01 
 5.90000000e-01  5.90000002e-01  0.00000000e+00  1.80000000e+00  5.90000000e-01 
 6.00000000e-01  6.00000002e-01  0.00000000e+00  1.80000000e+00  6.00000000e-01 
 6.10000000e-01  6.10000002e-01  0.00000000e+00  1.80000000e+00  6.10000000e-01 
 6.20000000e-01  6.20000002e-01  0.00000000e+00  1.80000000e+00  6.20000000e-01 
 6.30000000e-01  6.30000002e-01  0.00000000e+00  1.80000000e+00  6.30000000e-01 
 6.40000000e-01  6.40000002e-01  0.00000000e+00  1.80000000e+00  6.40000000e-01 
 6.50000000e-01  6.50000002e-01  0.00000000e+00  1.80000000e+00  6.50000000e-01 
 6.60000000e-01  6.60000002e-01  0.00000000e+00  1.80000000e+00  6.60000000e-01 
 6.70000000e-01  6.70000002e-01  0.00000000e+00  1.80000000e+00  6.70000000e-01 
 6.80000000e-01  6.80000002e-01  0.00000000e+00  1.80000000e+00  6.80000000e-01 
 6.90000000e-01  6.90000002e-01  0.00000000e+00  1.80000000e+00  6.90000000e-01 
 7.00000000e-01  7.00000002e-01  0.00000000e+00  1.80000000e+00  7.00000000e-01 
 7.10000000e-01  7.10000002e-01  0.00000000e+00  1.80000000e+00  7.10000000e-01 
 7.20000000e-01  7.20000002e-01  0.00000000e+00  1.80000000e+00  7.20000000e-01 
 7.30000000e-01  7.30000002e-01  0.00000000e+00  1.80000000e+00  7.30000000e-01 
 7.40000000e-01  7.40000002e-01  0.00000000e+00  1.80000000e+00  7.40000000e-01 
 7.50000000e-01  7.50000002e-01  0.00000000e+00  1.80000000e+00  7.50000000e-01 
 7.60000000e-01  7.60000002e-01  0.00000000e+00  1.80000000e+00  7.60000000e-01 
 7.70000000e-01  7.70000002e-01  0.00000000e+00  1.80000000e+00  7.70000000e-01 
 7.80000000e-01  7.80000002e-01  0.00000000e+00  1.80000000e+00  7.80000000e-01 
 7.90000000e-01  7.90000002e-01  0.00000000e+00  1.80000000e+00  7.90000000e-01 
 8.00000000e-01  8.00000002e-01  0.00000000e+00  1.80000000e+00  8.00000000e-01 
 8.10000000e-01  8.10000002e-01  0.00000000e+00  1.80000000e+00  8.10000000e-01 
 8.20000000e-01  8.20000002e-01  0.00000000e+00  1.80000000e+00  8.20000000e-01 
 8.30000000e-01  8.30000002e-01  0.00000000e+00  1.80000000e+00  8.30000000e-01 
 8.40000000e-01  8.40000001e-01  0.00000000e+00  1.80000000e+00  8.40000000e-01 
 8.50000000e-01  8.50000001e-01  0.00000000e+00  1.80000000e+00  8.50000000e-01 
 8.60000000e-01  8.60000001e-01  0.00000000e+00  1.80000000e+00  8.60000000e-01 
 8.70000000e-01  8.70000001e-01  0.00000000e+00  1.80000000e+00  8.70000000e-01 
 8.80000000e-01  8.80000001e-01  0.00000000e+00  1.80000000e+00  8.80000000e-01 
 8.90000000e-01  8.90000000e-01  0.00000000e+00  1.80000000e+00  8.90000000e-01 
 9.00000000e-01  9.00000000e-01  0.00000000e+00  1.80000000e+00  9.00000000e-01 
 9.10000000e-01  9.09999999e-01  0.00000000e+00  1.80000000e+00  9.10000000e-01 
 9.20000000e-01  9.19999999e-01  0.00000000e+00  1.80000000e+00  9.20000000e-01 
 9.30000000e-01  9.29999998e-01  0.00000000e+00  1.80000000e+00  9.30000000e-01 
 9.40000000e-01  9.39999998e-01  0.00000000e+00  1.80000000e+00  9.40000000e-01 
 9.50000000e-01  9.49999997e-01  0.00000000e+00  1.80000000e+00  9.50000000e-01 
 9.60000000e-01  9.59999996e-01  0.00000000e+00  1.80000000e+00  9.60000000e-01 
 9.70000000e-01  9.69999995e-01  0.00000000e+00  1.80000000e+00  9.70000000e-01 
 9.80000000e-01  9.79999994e-01  0.00000000e+00  1.80000000e+00  9.80000000e-01 
 9.90000000e-01  9.89999994e-01  0.00000000e+00  1.80000000e+00  9.90000000e-01 
 1.00000000e+00  9.99999993e-01  0.00000000e+00  1.80000000e+00  1.00000000e+00 
 1.01000000e+00  1.00999999e+00  0.00000000e+00  1.80000000e+00  1.01000000e+00 
 1.02000000e+00  1.01999999e+00  0.00000000e+00  1.80000000e+00  1.02000000e+00 
 1.03000000e+00  1.02999999e+00  0.00000000e+00  1.80000000e+00  1.03000000e+00 
 1.04000000e+00  1.03999999e+00  0.00000000e+00  1.80000000e+00  1.04000000e+00 
 1.05000000e+00  1.04999999e+00  0.00000000e+00  1.80000000e+00  1.05000000e+00 
 1.06000000e+00  1.05999999e+00  0.00000000e+00  1.80000000e+00  1.06000000e+00 
 1.07000000e+00  1.06999999e+00  0.00000000e+00  1.80000000e+00  1.07000000e+00 
 1.08000000e+00  1.07999999e+00  0.00000000e+00  1.80000000e+00  1.08000000e+00 
 1.09000000e+00  1.08999999e+00  0.00000000e+00  1.80000000e+00  1.09000000e+00 
 1.10000000e+00  1.09999999e+00  0.00000000e+00  1.80000000e+00  1.10000000e+00 
 1.11000000e+00  1.10999999e+00  0.00000000e+00  1.80000000e+00  1.11000000e+00 
 1.12000000e+00  1.11999999e+00  0.00000000e+00  1.80000000e+00  1.12000000e+00 
 1.13000000e+00  1.12999999e+00  0.00000000e+00  1.80000000e+00  1.13000000e+00 
 1.14000000e+00  1.13999999e+00  0.00000000e+00  1.80000000e+00  1.14000000e+00 
 1.15000000e+00  1.14999999e+00  0.00000000e+00  1.80000000e+00  1.15000000e+00 
 1.16000000e+00  1.15999999e+00  0.00000000e+00  1.80000000e+00  1.16000000e+00 
 1.17000000e+00  1.16999999e+00  0.00000000e+00  1.80000000e+00  1.17000000e+00 
 1.18000000e+00  1.17999999e+00  0.00000000e+00  1.80000000e+00  1.18000000e+00 
 1.19000000e+00  1.18999999e+00  0.00000000e+00  1.80000000e+00  1.19000000e+00 
 1.20000000e+00  1.19999999e+00  0.00000000e+00  1.80000000e+00  1.20000000e+00 
 1.21000000e+00  1.20999999e+00  0.00000000e+00  1.80000000e+00  1.21000000e+00 
 1.22000000e+00  1.21999999e+00  0.00000000e+00  1.80000000e+00  1.22000000e+00 
 1.23000000e+00  1.22999999e+00  0.00000000e+00  1.80000000e+00  1.23000000e+00 
 1.24000000e+00  1.23999999e+00  0.00000000e+00  1.80000000e+00  1.24000000e+00 
