 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 6.70000000e-01  3.44316341e-09  0.00000000e+00  6.70000000e-01  0.00000000e+00 
 6.80000000e-01  3.44403097e-09  0.00000000e+00  6.80000000e-01  0.00000000e+00 
 6.90000000e-01  3.44490446e-09  0.00000000e+00  6.90000000e-01  0.00000000e+00 
 7.00000000e-01  3.44578399e-09  0.00000000e+00  7.00000000e-01  0.00000000e+00 
 7.10000000e-01  3.44666957e-09  0.00000000e+00  7.10000000e-01  0.00000000e+00 
 7.20000000e-01  3.44756129e-09  0.00000000e+00  7.20000000e-01  0.00000000e+00 
 7.30000000e-01  3.44845909e-09  0.00000000e+00  7.30000000e-01  0.00000000e+00 
 7.40000000e-01  3.44936302e-09  0.00000000e+00  7.40000000e-01  0.00000000e+00 
 7.50000000e-01  3.45027313e-09  0.00000000e+00  7.50000000e-01  0.00000000e+00 
 7.60000000e-01  3.45118946e-09  0.00000000e+00  7.60000000e-01  0.00000000e+00 
 7.70000000e-01  3.45211203e-09  0.00000000e+00  7.70000000e-01  0.00000000e+00 
 7.80000000e-01  3.45304086e-09  0.00000000e+00  7.80000000e-01  0.00000000e+00 
 7.90000000e-01  3.45397601e-09  0.00000000e+00  7.90000000e-01  0.00000000e+00 
 8.00000000e-01  3.45491754e-09  0.00000000e+00  8.00000000e-01  0.00000000e+00 
 8.10000000e-01  3.45586543e-09  0.00000000e+00  8.10000000e-01  0.00000000e+00 
 8.20000000e-01  3.45681966e-09  0.00000000e+00  8.20000000e-01  0.00000000e+00 
 8.30000000e-01  3.45778038e-09  0.00000000e+00  8.30000000e-01  0.00000000e+00 
 8.40000000e-01  3.45874755e-09  0.00000000e+00  8.40000000e-01  0.00000000e+00 
 8.50000000e-01  3.45972121e-09  0.00000000e+00  8.50000000e-01  0.00000000e+00 
 8.60000000e-01  3.46070145e-09  0.00000000e+00  8.60000000e-01  0.00000000e+00 
 8.70000000e-01  3.46168817e-09  0.00000000e+00  8.70000000e-01  0.00000000e+00 
 8.80000000e-01  3.46268154e-09  0.00000000e+00  8.80000000e-01  0.00000000e+00 
 8.90000000e-01  3.46368152e-09  0.00000000e+00  8.90000000e-01  0.00000000e+00 
 9.00000000e-01  3.46468820e-09  0.00000000e+00  9.00000000e-01  0.00000000e+00 
 9.10000000e-01  3.46570146e-09  0.00000000e+00  9.10000000e-01  0.00000000e+00 
 9.20000000e-01  3.46672153e-09  0.00000000e+00  9.20000000e-01  0.00000000e+00 
 9.30000000e-01  3.46774834e-09  0.00000000e+00  9.30000000e-01  0.00000000e+00 
 9.40000000e-01  3.46878193e-09  0.00000000e+00  9.40000000e-01  0.00000000e+00 
